mode,particles,cycles,run1_time,run2_time,run3_time,average_time,std_dev
sequential,500,10000,4.747,4.757,4.708,4.737333333333333,0.025890796305508265
sequential,1000,10000,19.339,19.339,19.313,19.330333333333332,0.015011106998930155
sequential,1500,10000,40.329,40.561,40.014,40.30133333333333,0.2745475065145056
sequential,2000,10000,71.606,71.133,71.379,71.37266666666666,0.23656359257783763
sequential,2500,10000,111.819,111.091,111.144,111.35133333333333,0.40587723924030894
sequential,3000,10000,170.719,159.269,159.61,163.19933333333333,6.514453955116516
sequential,3500,10000,216.624,216.529,216.248,216.46699999999998,0.1955172626649655
parallel,500,10000,1.916,1.965,2.003,1.9613333333333334,0.043615746392023855
parallel,1000,10000,6.624,6.871,6.946,6.813666666666666,0.1684824422108529
parallel,1500,10000,14.213,15.837,17.29,15.78,1.539291720240189
parallel,2000,10000,31.403,33.665,32.917,32.66166666666667,1.1524136988657045
parallel,2500,10000,44.75,45.498,45.756,45.334666666666664,0.5225106059529634
parallel,3000,10000,56.158,59.065,57.164,57.46233333333333,1.4762839609415688
parallel,3500,10000,76.741,71.745,74.097,74.19433333333333,2.499421799803571
parallel,4000,10000,92.647,94.256,98.642,95.18166666666667,3.1028455219899853
parallel,4500,10000,108.808,107.44,113.379,109.87566666666667,3.1101228807449632
parallel,5000,10000,137.013,128.004,147.844,137.62033333333332,9.933933779391392
distributed,500,10000,4.81,5.784,5.975,5.523,0.6248175733764216
distributed,1000,10000,15.96,15.96,16.537,16.152333333333335,0.333131105322413
distributed,500,10000,5.525,6.807,5.735,6.022333333333334,0.6876055070557051
distributed,1000,10000,15.403,16.475,16.399,16.092333333333336,0.5981883761268969
distributed,1500,10000,30.022,30.019,30.925,30.322,0.5222154727696235
distributed,2000,10000,50.893,49.559,49.031,49.827666666666666,0.9596339579930129
distributed,2500,10000,70.044,72.096,73.024,71.72133333333333,1.524920107196879
distributed,3000,10000,97.665,98.331,96.182,97.39266666666667,1.1000792395701935
distributed,3500,10000,132.307,134.978,133.936,133.74033333333333,1.3462073886787884
distributed,4000,10000,172.529,168.037,170.062,170.20933333333335,2.249621375550408
distributed,4500,10000,207.217,209.384,206.749,207.78333333333333,1.4058294111780805
