mode,particles,cycles,run1_time,run2_time,run3_time,average_time,std_dev
sequential,100,10,0.003,0.003,,0.003,0.0
sequential,100,20,0.004,0.004,,0.004,0.0
sequential,100,30,0.005,0.005,,0.005,0.0
sequential,100,40,0.006,0.006,,0.006,0.0
sequential,100,50,0.007,0.007,,0.007,0.0
parallel,100,10,0.01,0.01,,0.01,0.0
parallel,100,20,0.011,0.012,,0.0115,0.0007071067811865482
parallel,100,30,0.012,0.014,,0.013000000000000001,0.001414213562373095
parallel,100,40,0.014,0.014,,0.014,0.0
parallel,100,50,0.016,0.016,,0.016,0.0
distributed,100,10,0.026,0.016,,0.020999999999999998,0.0070710678118654745
distributed,100,20,0.022,0.024,,0.023,0.0014142135623730963
distributed,100,30,0.026,0.024,,0.025,0.001414213562373094
distributed,100,40,0.028,0.027,,0.0275,0.0007071067811865482
distributed,100,50,0.031,0.03,,0.0305,0.0007071067811865482
